protocol,pool_id,symbol,name,contract_address,accepts_usdc,tvl_usd,total_debt_usd,utilization_rate,apy_base,apy_reward,apy_total,apy_borrow_variable,ltv,liquidation_threshold,liquidation_bonus,decimals
Hyperlend,0x5555555555555555555555555555555555555555,WHYPE,Wrapped HYPE,0x0D745EAA9E70bb8B6e2a0317f85F1d536616bD34,False,134436649.73,83903364.54,62.4111,0.3903,0.0,0.3903,0.7832,59.0,74.0,115.0,18
Hyperlend,0x94e8396e0869c9F2200760aF0621aFd240E1CF38,wstHYPE,Staked HYPE Shares,0x0Ab8AAE3335Ed4B373A33D9023b6A6585b149D33,False,15313410.95,1762128.53,11.5071,0.0071,0.0,0.0071,0.0767,59.0,74.0,115.0,18
Hyperlend,0x9FDBdA0A5e284c32744D2f17Ee5c74B284993463,UBTC,Unit Bitcoin,0xd2012c6DfF7634f9513A56a1871b93e4505EA851,False,26600195.38,6015505.12,22.6145,0.2341,0.0,0.2341,1.3006,59.0,65.5,120.0,8
Hyperlend,0xBe6727B535545C67d5cAa73dEa54865B92CF7907,UETH,Unit Ethereum,0xdBA3B25643C11be9BDF457D6b3926992A735c523,False,7914027.6,5099625.44,64.4378,1.6747,0.0,1.6747,3.2743,65.0,75.5,115.0,18
Hyperlend,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,USDe,USDeOFT,0x333819c04975554260AaC119948562a0E24C2bd6,False,1848069.58,1388649.43,75.1405,2.9794,0.0,2.9794,5.0053,0.0,0.0,0.0,18
Hyperlend,0xB8CE59FC3717ada4C02eaDF9682A9e934F625ebb,USD₮0,USD₮0,0x10982ad645D5A112606534d8567418Cf64c14cB5,False,22170937.86,11452204.48,51.6541,2.8137,0.0,2.8137,6.9456,62.0,71.4,108.0,6
Hyperlend,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,sUSDe,Staked USDe,0xf6ba4169e1a1B467D32B8884C4B42de6454B4E4f,False,19500.67,0.0,0.0,0.0,0.0,0.0,0.0,59.0,68.0,108.0,18
Hyperlend,0xb50A96253aBDF803D85efcDce07Ad8becBc52BD5,USDHL,Hyper USD,0x0b936DE4370E4B2bE947C01fe0a6FB5f987c4709,False,251245.08,209453.11,83.3661,19.8891,0.0,19.8891,31.2598,0.0,0.0,0.0,6
Hyperlend,0xfD739d4e423301CE9385c1fb8850539D657C296D,kHYPE,Kinetiq Staked HYPE,0xa55DE93CDE5A34c5521B7584022846829CB74366,False,167896798.87,95716.37,0.057,0.0,0.0,0.0,0.0004,59.0,74.0,110.0,18
Hyperlend,0x0aD339d66BF4AeD5ce31c64Bc37B3244b6394A77,USR,Resolv USD,0x2A2d7663Cb77220de9BA55Aa9aAe2b360F2c23fC,False,14059.7,8982.34,63.8871,4.3359,0.0,4.3359,8.6596,0.0,0.0,0.0,18
Hyperlend,0x311dB0FDe558689550c68355783c95eFDfe25329,PT-kHYPE-13NOV2025,PT Kinetiq Staked HYPE 13NOV2025,0x329FebbBF38A6C202786fCc8Ac02DbD2f40D5a18,False,189845.52,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,110.0,18
Hyperlend,0xb7379d395F3c83952ad794896205f7E33E358735,PT-sUSDE-25SEP2025,PT Ethena sUSDE 25SEP2025,0xec2767311eBf57C02de9866fDACdfefAc4AdAe6B,False,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,110.0,18
Hyperlend,0x068f321Fa8Fb9f0D135f290Ef6a3e2813e1c8A29,USOL,Unit Solana,0xE14b4526438Ae5ee26596de1936280E4d6bDDEb5,False,3836941.16,2755872.46,71.8247,3.7555,0.0,3.7555,6.6265,56.0,64.54,120.0,9
Hyperlend,0xd8FC8F0b03eBA61F64D08B0bef69d80916E5DdA9,beHYPE,hyperbeat x ether.fi HYPE,0x48a278aA1eab4de5b74897230Ae57FB9e7B1497A,False,5384146.66,33308.68,0.6186,0.0,0.0,0.0,0.0041,59.0,74.0,110.0,18
Hyperlend,0xb88339CB7199b77E23DB6E890353E22632Ba630f,USDC,USDC,0x744E4f26ee30213989216E1632D9BE3547C4885b,True,32153279.37,23777000.07,73.9489,5.8519,0.0,5.8519,8.9209,62.0,71.4,108.0,6
Hyperlend,0x111111a1a0667d36bD57c0A9f569b98057111111,USDH,USDH,0x143A24569a73AFB856A2ee3D554AbcA860118785,False,511045.79,281623.47,55.1073,3.2086,0.0,3.2086,7.4267,62.0,71.4,110.0,6
Hyperlend,0xea84ca9849D9e76a78B91F221F84e9Ca065FC9f5,PT-kHYPE-19MAR2026,PT Kinetiq Staked HYPE 19MAR2026,0x7686fEdD785663e437a409abB55a9BB36fA2DCf2,False,6007041.09,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,110.0,18
